--- Random Search Complete ---
Time Started: 2026-4-21 13:26:30
Time Ended  : 2026-4-21 13:33:11
Delta (sec) : 400.751
Name        : Severstal_Steel
ImageDirs   : severstal-steel\train_cgp\images
LabelDirs   : severstal-steel\train_cgp\labels
No. Images  : 15
MaxPipelineLen: 10
Trials      : 75
Best Trial  : 69
Best Mean MCC: 0.05131
Best Config : len=4 :: bandpass_image(lines) -> fast_threshold(min=42, max=161, minSize=104)

Best Config : len=4 :: sobel_amp(sum_sqrt,9) -> fast_threshold(min=42, max=161, minSize=104)

Best Config : len=4 :: laplace(signed_binomial,5,n_4) -> fast_threshold(min=42, max=161, minSize=104)

Best Config : len=4 :: gauss(sigma=3) -> fast_threshold(min=42, max=161, minSize=104)

Best Config : len=4 ::  ->  -> fast_threshold(min=42, max=161, minSize=104)

Best Config : len=4 ::  ->  -> fast_threshold(min=42, max=161, minSize=104)

--- Iterations ---
151;0.00469635;

150;0.00469635;
149;0.00279844;
148;0.00113127;
147;-0.0100202;
146;-0.00936208;
145;0.00612964;
144;0.0310396;
143;0.0133806;
142;0.00718508;
141;0.0458912;
140;0.0138141;
139;0.00203471;
138;0.0205539;
137;0.0124611;
136;-0.00535609;
135;-0.0153358;
134;-0.0234072;
133;0.00764168;
132;0.0256916;
131;-0.00575986;
130;0.0314996;
129;0.0359964;
128;0.0383495;
127;0.00580608;
126;-0.0127744;
125;0.0107325;
124;0;
123;0.0109013;
122;0.00284806;
121;-0.00886209;
120;0.00412074;
119;0.013121;
118;0.00366441;
117;-0.0213122;
116;0.0122595;
115;-0.00236016;
114;-0.000807902;
113;-0.0273372;
112;-0.019111;
111;0.00154542;
110;0.0266985;
109;-0.0369827;
108;0.00306635;
107;0.0117993;
106;0.0130232;
105;0.00303594;
104;0.0280534;
103;0.018097;
102;0.0166662;
101;-0.000843356;
100;0.00366108;
99;0.018086;
98;0.00348716;
97;0.0310863;
96;0.00673832;
95;-0.00274255;
94;0.0111781;
93;0.00948777;
92;-0.021915;
91;0.0140525;
90;-0.0180278;
89;0.00359516;
88;0.0272115;
87;0.0100069;
86;0.0318099;
85;0.00245344;
84;-0.0353695;
83;-0.00178268;
82;0.00539332;
81;0.0162645;
80;-0.0143273;
79;0.0115555;
78;0.028207;
77;0.00645574;
76;0.0105392;
75;-0.0342841;
74;0.00807773;
73;-0.00166518;
72;0.0116178;
71;0.00686653;
70;-0.000132389;
69;0.0513116;
68;-0.00164506;
67;0.00621948;
66;0.0134872;
65;0.00391312;
64;1.59144e-005;
63;0.00830329;
62;0.0188332;
61;-0.000698576;
60;-0.00563894;
59;-0.0087039;
58;-0.00671754;
57;0.0286703;
56;0.013657;
55;-0.00846681;
54;0.0152663;
53;0.020969;
52;-0.0172455;
51;0.00551002;
50;0.00580337;
49;0.0302081;
48;-0.00734294;
47;0.00260185;
46;0.0287824;
45;0.0500533;
44;-0.00503986;
43;-0.00120594;
42;0.0127946;
41;0.0130907;
40;0.0188306;
39;0.00733547;
38;0.0340808;
37;-0.0145594;
36;-0.0132404;
35;0.0391129;
34;0.0423752;
33;-0.0279006;
32;-0.0567591;
31;0.0310473;
30;0.000814767;
29;0.00749665;
28;0.0134101;
27;-0.0264703;
26;-0.0232512;
25;0.00872708;
24;-0.0107715;
23;0.0210799;
22;-0.00165703;
21;0.0354563;
20;0.0286235;
19;0.00107659;
18;0.00860057;
17;-0.0217966;
16;0.00263299;
15;-0.00803208;
14;0.0130696;
13;0.00646812;
12;0.0184383;
11;-0.0195857;
10;0.00605588;
9;0.00517947;
8;-0.0103107;
7;0.0165637;
6;0.00457632;
5;0.0102379;
4;-0.0292017;
3;-0.0029661;
2;0.0044083;
1;-0.00975295;
